Date,Buy Price,Target,Stop Loss,Outcome,Capital After Trade
2019-02-26,8399.1,8735.06,8231.12,No Hit,100000.0
2019-02-27,8420.05,8756.85,8251.65,No Hit,100000.0
2019-03-01,8413.65,8750.2,8245.38,No Hit,100000.0
2019-05-20,8422.1,8758.98,8253.66,Stop Loss Hit,83155.8
2019-05-24,8460.25,8798.66,8291.04,No Hit,83155.8
2019-06-03,8328.2,8661.33,8161.64,No Hit,83155.8
2019-06-04,8300.2,8632.21,8134.2,No Hit,83155.8
2019-06-10,8216.65,8545.32,8052.32,No Hit,83155.8
2019-06-13,8116.95,8441.63,7954.61,No Hit,83155.8
2019-07-01,8029.15,8350.32,7868.57,No Hit,83155.8
2019-07-02,8045.65,8367.48,7884.74,No Hit,83155.8
2019-07-03,8039.5,8361.08,7878.71,No Hit,83155.8
2019-08-27,7152.95,7439.07,7009.89,Stop Loss Hit,68849.9
2019-09-06,7102.45,7386.55,6960.4,No Hit,68849.9
2019-09-17,7020.75,7301.58,6880.34,No Hit,68849.9
2019-09-18,7012.1,7292.58,6871.86,No Hit,68849.9
2019-09-20,7605.85,7910.08,7453.73,Target Hit,99273.3
2019-12-13,8069.7,8392.49,7908.31,No Hit,99273.3
2019-12-17,8039.9,8361.5,7879.1,No Hit,99273.3
2020-01-07,8002.5,8322.6,7842.45,No Hit,99273.3
2020-02-04,8100.8,8424.83,7938.78,No Hit,99273.3
2020-02-07,8064.6,8387.18,7903.31,Stop Loss Hit,83144.1
2020-04-23,5464.75,5683.34,5355.46,No Hit,83144.1
2020-09-21,7832.2,8145.49,7675.56,Stop Loss Hit,67479.7
2020-10-30,7758.4,8068.74,7603.23,No Hit,67479.7
2020-11-02,7732.25,8041.54,7577.6,No Hit,67479.7
2021-03-15,10335.1,10748.5,10128.4,No Hit,67479.7
2021-04-28,9871.5,10266.36,9674.07,No Hit,67479.7
2021-05-06,9815.1,10207.7,9618.8,No Hit,67479.7
2021-07-13,10497.8,10917.71,10287.84,No Hit,67479.7
2021-08-03,10342.6,10756.3,10135.75,No Hit,67479.7
2021-08-31,10034.45,10435.83,9833.76,No Hit,67479.7
2021-12-31,10936.9,11374.38,10718.16,No Hit,67479.7
2022-02-15,11552.3,12014.39,11321.25,No Hit,67479.7
2022-05-16,10649.1,11075.06,10436.12,No Hit,67479.7
2022-06-20,10754.7,11184.89,10539.61,No Hit,67479.7
2022-09-16,12954.45,13472.63,12695.36,No Hit,67479.7
2022-09-19,13074.0,13596.96,12812.52,No Hit,67479.7
2022-10-06,12784.55,13295.93,12528.86,No Hit,67479.7
2022-11-24,12845.6,13359.42,12588.69,No Hit,67479.7
2022-11-25,12958.0,13476.32,12698.84,No Hit,67479.7
2022-12-06,12973.8,13492.75,12714.32,No Hit,67479.7
2022-12-14,13004.1,13524.26,12744.02,No Hit,67479.7
2022-12-29,12634.6,13139.98,12381.91,No Hit,67479.7
2023-01-02,12667.75,13174.46,12414.4,No Hit,67479.7
2023-01-05,12656.65,13162.92,12403.52,No Hit,67479.7
2023-01-06,12627.8,13132.91,12375.24,No Hit,67479.7
2023-03-08,13019.5,13540.28,12759.11,No Hit,67479.7
2023-04-06,12469.35,12968.12,12219.96,No Hit,67479.7
2023-08-16,15425.0,16042.0,15116.5,No Hit,67479.7
2023-08-17,15399.25,16015.22,15091.26,No Hit,67479.7
2023-08-21,15427.6,16044.7,15119.05,No Hit,67479.7
2023-08-22,15507.9,16128.22,15197.74,No Hit,67479.7
2023-08-28,15475.25,16094.26,15165.74,No Hit,67479.7
2023-10-05,15916.1,16552.74,15597.78,No Hit,67479.7
2023-10-09,15832.85,16466.16,15516.19,No Hit,67479.7
2023-10-27,16169.15,16815.92,15845.77,Stop Loss Hit,35141.4
